"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [kg*km2/km2]",2422863321.80911,219450420.757976,0.090574824746662
"1","1983","Stratum_1"," [kg*km2/km2]",5764063103.77991,494907268.751786,0.0858608345955198
"1","1984","Stratum_1"," [kg*km2/km2]",4252525888.44362,401400798.537206,0.0943911475361092
"1","1985","Stratum_1"," [kg*km2/km2]",4939026456.87404,565670458.809181,0.11453076102111
"1","1986","Stratum_1"," [kg*km2/km2]",4500205461.71482,418655619.817129,0.0930303345877897
"1","1987","Stratum_1"," [kg*km2/km2]",4570045865.55363,414339830.50135,0.0906642608610134
"1","1988","Stratum_1"," [kg*km2/km2]",6611503393.51872,673610414.504334,0.101884605423432
"1","1989","Stratum_1"," [kg*km2/km2]",5835181778.86046,496137653.634794,0.0850252267088214
"1","1990","Stratum_1"," [kg*km2/km2]",6371886848.62921,691990752.127108,0.108600602704672
"1","1991","Stratum_1"," [kg*km2/km2]",4525254049.89784,403493264.083149,0.0891647760841755
"1","1992","Stratum_1"," [kg*km2/km2]",4421265676.51722,414506234.512224,0.0937528447371533
"1","1993","Stratum_1"," [kg*km2/km2]",5185480650.98721,439408527.301774,0.0847382445093338
"1","1994","Stratum_1"," [kg*km2/km2]",4601605733.12221,405384355.312944,0.0880962817815964
"1","1995","Stratum_1"," [kg*km2/km2]",4335519183.05197,442985442.342256,0.10217586951845
"1","1996","Stratum_1"," [kg*km2/km2]",2779130182.87519,225423716.613864,0.0811130468097209
"1","1997","Stratum_1"," [kg*km2/km2]",2982004651.66768,240898733.632054,0.0807841575623742
"1","1998","Stratum_1"," [kg*km2/km2]",2324047430.63177,195122578.266887,0.083958087814862
"1","1999","Stratum_1"," [kg*km2/km2]",3336079991.95135,319330589.316191,0.0957203034959022
"1","2000","Stratum_1"," [kg*km2/km2]",4730865630.43901,417593574.986836,0.0882700139061199
"1","2001","Stratum_1"," [kg*km2/km2]",3963987924.0658,340617616.680302,0.0859280157268834
"1","2002","Stratum_1"," [kg*km2/km2]",4300225771.38566,328223224.054117,0.0763269747923848
"1","2003","Stratum_1"," [kg*km2/km2]",6582728527.95939,572279892.589628,0.0869365780707703
"1","2004","Stratum_1"," [kg*km2/km2]",3585741786.64031,294937488.23129,0.0822528519287592
"1","2005","Stratum_1"," [kg*km2/km2]",4559790293.65959,419521490.733438,0.0920045580422382
"1","2006","Stratum_1"," [kg*km2/km2]",2703458650.0969,235000124.618261,0.0869257329346755
"1","2007","Stratum_1"," [kg*km2/km2]",3948075518.26513,418256767.638123,0.105939404072472
"1","2008","Stratum_1"," [kg*km2/km2]",2716103195.71636,284507015.094267,0.104748234729436
"1","2009","Stratum_1"," [kg*km2/km2]",2082279162.92154,250671069.379954,0.120383027330615
"1","2010","Stratum_1"," [kg*km2/km2]",3251338533.28557,336211512.218861,0.1034071071889
"1","2011","Stratum_1"," [kg*km2/km2]",2865310196.04629,251646274.257035,0.0878251417959111
"1","2012","Stratum_1"," [kg*km2/km2]",3269939330.26525,272484618.540809,0.0833301755842382
"1","2013","Stratum_1"," [kg*km2/km2]",4259292355.75174,390012595.783525,0.0915674631390006
"1","2014","Stratum_1"," [kg*km2/km2]",7126665503.8377,549460318.349522,0.0770992153418227
